FTLS
	US Dollar	
RYAAY	Ryanair Holdings Plc (ADR)	/etf/ea/ETZCW.djhtm?c=1&etfid=RYAAY.US&back=FTLS
WMB	The Williams Companies,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=WMB.US&back=FTLS
WLK	Westlake Corporation	/etf/ea/ETZCW.djhtm?c=1&etfid=WLK.US&back=FTLS
NUE	Nucor Corporation	/etf/ea/ETZCW.djhtm?c=1&etfid=NUE.US&back=FTLS
EXP	Eagle Materials Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=EXP.US&back=FTLS
COF	Capital One Financial Corporation	/etf/ea/ETZCW.djhtm?c=1&etfid=COF.US&back=FTLS
CAT	Caterpillar Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=CAT.US&back=FTLS
AMX	America Movil,S.A.B. de C.V. (ADR)	/etf/ea/ETZCW.djhtm?c=1&etfid=AMX.US&back=FTLS
AM	Antero Midstream Corp.	/etf/ea/ETZCW.djhtm?c=1&etfid=AM.US&back=FTLS
WGO	Winnebago Industries,Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=WGO.US&back=FTLS
KBH	KB Home	/etf/ea/ETZCW.djhtm?c=1&etfid=KBH.US&back=FTLS
HESM	Hess Midstream LP (Class A)	/etf/ea/ETZCW.djhtm?c=1&etfid=HESM.US&back=FTLS
IRDM	Iridium Communications Inc.	/etf/ea/ETZCW.djhtm?c=1&etfid=IRDM.US&back=FTLS
